, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM, PAPI_TLB_DM, PAPI_L2_DCA, PAPI_L3_DCA,,,,,,,,,,,,,,
10240,256,603.393,1.42E+11,2299698718,2.10E+11,178973646,22778280392,10572434080,3.53212E+11,63405255,19282399502,3.53212E+11,,,,,,,,,,,,,
10240,512,625.037,1.37E+11,1956326906,1.87E+11,184455471,19364755963,6710063386,3.04224E+11,74939210,13415830523,3.04224E+11,,,,,,,,,,,,,
10240,1024,702.623,1.38E+11,4804679064,1.83E+11,177478310,25857996193,6265730168,2.90469E+11,3203593178,16517921416,2.90469E+11,,,,,,,,,,,,,
10240,2048,750.507,1.40E+11,5840007257,1.83E+11,181884454,31548935234,5573263424,2.82988E+11,2699803301,20533920567,2.82988E+11,,,,,,,,,,,,,
10240,4096,778.107,2.50E+11,6926614516,1.83E+11,177285450,83335428326,5570546680,2.78631E+11,2474727328,51826845686,2.78631E+11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic,Line,,,,,,,,,,,,,,,,,,,,,,,
600,0.225527,0.123384,,,,,,,,,,,,,,,,,,,,,,,
1000,1.72758,0.647236,,,,,,,,,,,,,,,,,,,,,,,
1400,5.25648,1.93269,,,,,,,,,,,,,,,,,,,,,,,
1800,22.5273,4.14199,,,,,,,,,,,,,,,,,,,,,,,
2200,42.9934,7.70274,,,,,,,,,,,,,,,,,,,,,,,
2600,80.897,12.8137,,,,,,,,,,,,,,,,,,,,,,,
3000,130.876,20.5717,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,
4096,42.8798,40.2438,43.4064,47.331,47.2984,49.9826,,,,,,,,,,,,,,,,,,,
6144,145.065,128.366,130.646,147.017,167.363,167.335,,,,,,,,,,,,,,,,,,,
8192,367.987,562.623,389.878,385.185,380.558,401.941,,,,,,,,,,,,,,,,,,,
10240,714.494,603.393,625.037,702.623,750.507,778.107,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,4096,6144,8192,10240,,,,,,,,,,,,,,,,,,,,,
128,42.8798,145.065,367.987,714.494,,,,,,,,,,,,,,,,,,,,,
256,40.2438,128.366,562.623,603.393,,,,,,,,,,,,,,,,,,,,,
512,43.4064,130.646,389.878,625.037,,,,,,,,,,,,,,,,,,,,,
1024,47.331,147.017,385.185,702.623,,,,,,,,,,,,,,,,,,,,,
2048,47.2984,167.363,380.558,750.507,,,,,,,,,,,,,,,,,,,,,
4096,49.9826,167.335,401.941,778.107,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Python,C++,,,,,,,,,,,,,,,,,,,,,,,
600,45.38635216,0.225527,,,,,,,,,,,,,,,,,,,,,,,
1000,234.5354094,1.72758,,,,,,,,,,,,,,,,,,,,,,,
1400,653.1684168,5.25648,,,,,,,,,,,,,,,,,,,,,,,
1800,1413.199853,22.5273,,,,,,,,,,,,,,,,,,,,,,,
2200,2586.825583,42.9934,,,,,,,,,,,,,,,,,,,,,,,
2600,4286.360333,80.897,,,,,,,,,,,,,,,,,,,,,,,
3000,6658.442935,130.876,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Python,C++,,,,,,,,,,,,,,,,,,,,,,,
600,46.42652355,0.123384,,,,,,,,,,,,,,,,,,,,,,,
1000,217.0691807,0.647236,,,,,,,,,,,,,,,,,,,,,,,
1400,598.9518155,1.93269,,,,,,,,,,,,,,,,,,,,,,,
1800,1269.817297,4.14199,,,,,,,,,,,,,,,,,,,,,,,
2200,2329.56043,7.70274,,,,,,,,,,,,,,,,,,,,,,,
2600,3845.087283,12.8137,,,,,,,,,,,,,,,,,,,,,,,
3000,5886.979285,20.5717,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic,Line,,,,,,,,,,,,,,,,,,,,,,,
600,45.38635216,46.42652355,,,,,,,,,,,,,,,,,,,,,,,
1000,234.5354094,217.0691807,,,,,,,,,,,,,,,,,,,,,,,
1400,653.1684168,598.9518155,,,,,,,,,,,,,,,,,,,,,,,
1800,1413.199853,1269.817297,,,,,,,,,,,,,,,,,,,,,,,
2200,2586.825583,2329.56043,,,,,,,,,,,,,,,,,,,,,,,
2600,4286.360333,3845.087283,,,,,,,,,,,,,,,,,,,,,,,
3000,6658.442935,5886.979285,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic,Line,,,,,,,,,,,,,,,,,,,,,,,
600,0.225527,0.123384,,,,,,,,,,,,,,,,,,,,,,,
1000,1.72758,0.647236,,,,,,,,,,,,,,,,,,,,,,,
1400,5.25648,1.93269,,,,,,,,,,,,,,,,,,,,,,,
1800,22.5273,4.14199,,,,,,,,,,,,,,,,,,,,,,,
2200,42.9934,7.70274,,,,,,,,,,,,,,,,,,,,,,,
2600,80.897,12.8137,,,,,,,,,,,,,,,,,,,,,,,
3000,130.876,20.5717,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 PAPI_CA_SNP,,,,,,,,,,,,,,,,,,,,,,,,,
30748719,,,,,,,,,,,,,,,,,,,,,,,,,
198111972,,,,,,,,,,,,,,,,,,,,,,,,,
866159151,,,,,,,,,,,,,,,,,,,,,,,,,
3600534769,,,,,,,,,,,,,,,,,,,,,,,,,
