, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM,, ,
3000,5886.979285,20.5717,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Basic,Line,,,,,,,,
600,45.38635216,46.42652355,,,,,,,,
1000,234.5354094,217.0691807,,,,,,,,
1400,653.1684168,598.9518155,,,,,,,,
1800,1413.199853,1269.817297,,,,,,,,
2200,2586.825583,2329.56043,,,,,,,,
2600,4286.360333,3845.087283,,,,,,,,
3000,6658.442935,5886.979285,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Basic,Line,,,,,,,,
600,0.225527,0.123384,,,,,,,,
1000,1.72758,0.647236,,,,,,,,
1400,5.25648,1.93269,,,,,,,,
1800,22.5273,4.14199,,,,,,,,
2200,42.9934,7.70274,,,,,,,,
2600,80.897,12.8137,,,,,,,,
3000,130.876,20.5717,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 PAPI_CA_SNP,,,,,,,,,,
30748719,,,,,,,,,,
198111972,,,,,,,,,,
866159151,,,,,,,,,,
3600534769,,,,,,,,,,
11615727140,,,,,,,,,,
25463046397,,,,,,,,,,
52342357222,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,600,1000,1400,1800,2200,2600,3000,,,
 Time,0.225527,1.72758,5.25648,22.5273,42.9934,80.897,130.876,,,
 PAPI_L1_DCM,244838232,1229452111,3430131743,9091122127,17642732506,30879642340,50303539232,,,
 PAPI_L3_LDM,389344,42434357,187773811,547084970,896137634,1389191228,1884617393,,,
 PAPI_PRF_DM,12460981,35999396,251366158,2367649696,8024598857,20265684328,37255738834,,,
 PAPI_MEM_WCY,104864,349374,749280,1280835,1951985,2777874,3753904,,,
 PAPI_L1_LDM,218075891,1114395085,3119107953,8453147898,16453205218,28781906348,46881354649,,,
 PAPI_L2_LDM,16385005,103214461,437134201,1823990912,5920972274,13050232229,26919399642,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,, Time,,,4096,6144,8192,10240,,
4096,128,42.8798,,128,42.8798,145.065,367.987,714.494,,
4096,256,40.2438,,256,40.2438,128.366,562.623,603.393,,
4096,512,43.4064,,512,43.4064,130.646,389.878,625.037,,
4096,1024,47.331,,1024,47.331,147.017,385.185,702.623,,
4096,2048,47.2984,,2048,47.2984,167.363,380.558,750.507,,
4096,4096,49.9826,,4096,49.9826,167.335,401.941,778.107,,
6144,128,145.065,,,,,,,,
6144,256,128.366,,,,,,,,
6144,512,130.646,,,,,,,,
6144,1024,147.017,,,,,,,,
6144,2048,167.363,,,,,,,,
6144,4096,167.335,,,,,,,,
8192,128,367.987,,,,,,,,
8192,256,562.623,,,,,,,,
8192,512,389.878,,,,,,,,
8192,1024,385.185,,,,,,,,
8192,2048,380.558,,,,,,,,
8192,4096,401.941,,,,,,,,
10240,128,714.494,,,,,,,,
10240,256,603.393,,,,,,,,
10240,512,625.037,,,,,,,,
10240,1024,702.623,,,,,,,,
10240,2048,750.507,,,,,,,,
10240,4096,778.107,,,,,,,,
