Matrix Size;Time
600;45.386352159
1000;234.53540941200004
1400;653.1684167860001
1800;1413.199852842
2200;2586.8255829140003
2600;4286.360333066001
3000;6658.442934770999

Matrix Size;Time
600;46.42652354599886
1000;217.06918071200016
1400;598.9518154749985
1800;1269.8172971079985
2200;2329.560430387999
2600;3845.0872827910025
3000;5886.979284887002
